,idade,tipo_assinatura,plano_pagamento,num_pausas_assinatura,metodo_pagamento,chamados_suporte,horas_semanais,tempo_medio_sessao,taxa_skip_musica,musicas_tocadas_semana,musicas_unicas_semana,num_artistas_favoritos,num_amigos_plataforma,num_playlists_criadas,num_playlists_compartilhadas,notificacoes_clicadas
0,73,premium,anual,2,credito,muitos,19.9864952,0.780291577,0.25,349,200,4,41,12,12,108
1,85,basico,anual,1,debito,nenhum,4.757378086,1.226597192,0.14,82,46,6,33,20,10,78
2,84,familia premium,anual,0,debito,poucos,6.281385094,1.234459714,0.43,90,51,7,13,4,4,0
3,26,familia premium,anual,2,credito,muito frequente,0.584870553,0.927455141,0.0,8,7,1,103,12,4,0
4,85,familia premium,anual,1,debito,alguns,24.74562896,3.145391205,0.43,300,252,8,9,13,3,1
5,70,familia premium,mensal,2,credito,poucos,25.63486735,2.318714528,0.52,495,252,4,59,18,9,1
6,46,basico,mensal,1,venmo,nenhum,6.792747875,1.676717963,0.42,85,48,4,70,5,3,68
7,42,basico,anual,0,credito,muitos,23.53670732,2.8333048,0.35,300,222,6,59,18,5,33
8,85,familia premium,mensal,0,credito,poucos,12.12156612,0.379329251,0.1,165,85,5,40,18,18,2
9,40,premium,anual,1,credito,poucos,30.70539546,4.451992422,0.15,490,365,5,80,18,6,210
10,74,basico,anual,2,credito,poucos,14.88947324,0.319620808,0.52,263,191,7,29,15,8,70
11,81,familia premium,anual,1,venmo,nenhum,11.13681177,0.218834297,0.56,140,101,4,22,20,7,1
12,35,basico,anual,1,credito,muito frequente,1.702188671,0.500348158,0.19,26,23,4,77,18,9,135
13,51,familia premium,anual,0,credito,poucos,12.17599311,0.915224761,0.78,211,137,5,63,18,5,0
14,67,familia premium,anual,0,debito,muito frequente,5.031265386,0.683815425,0.61,88,51,7,38,8,2,2
15,55,familia premium,anual,0,venmo,alguns,2.922947322,0.707183427,0.04,53,30,4,62,20,10,2
16,86,basico,anual,1,debito,alguns,29.00357725,2.647950268,0.66,419,307,8,36,13,13,37
17,57,familia premium,anual,1,debito,nenhum,9.351591498,1.1871455,0.35,175,89,7,72,9,5,1
18,55,basico,anual,2,venmo,poucos,16.24629206,1.836529917,0.24,301,262,4,65,13,3,91
19,66,basico,anual,1,credito,poucos,3.534789572,0.385933037,0.5,48,32,3,43,12,4,47
20,82,basico,anual,0,debito,alguns,26.61634012,1.771249548,0.4,361,184,6,30,7,2,31
21,82,estudante,anual,2,credito,nenhum,25.59209646,1.116474795,0.22,326,207,7,28,13,7,23
22,32,premium,mensal,1,venmo,alguns,30.1951467,1.397832325,0.12,537,300,9,77,7,2,22
23,75,familia premium,anual,1,credito,nenhum,16.10669975,2.375639333,0.23,274,192,5,51,8,3,1
24,38,familia premium,mensal,0,credito,muitos,4.887403401,0.892694002,0.71,97,62,7,84,9,5,1
25,76,premium,mensal,1,credito,alguns,30.79418181,2.488366745,0.29,607,588,9,26,16,4,42
26,51,basico,mensal,2,credito,muito frequente,12.32691236,1.496507261,0.25,217,137,6,73,12,3,91
27,47,premium,anual,0,credito,muito frequente,12.14810842,2.384694035,0.86,238,151,8,53,14,4,27
